Date,Open,High,Low,Close,Adj Close,Volume
2011-11-01,19.879999,20.760000,18.020000,19.240000,15.128840,22513100
2011-12-01,19.510000,20.670000,18.639999,20.100000,15.805078,1369600
2012-01-01,20.879999,22.809999,20.510000,21.790001,17.373196,14150900
2012-02-01,22.150000,23.580000,22.129999,23.230000,18.521305,7977100
2012-03-01,23.459999,25.820000,22.379999,25.330000,20.195641,10774900
2012-04-01,25.250000,26.250000,23.870001,24.610001,19.752644,8392400
2012-05-01,24.590000,25.120001,21.969999,22.530001,18.083174,4130900
2012-06-01,22.010000,23.389999,20.900000,23.389999,18.773438,3605600
2012-07-01,23.500000,24.160000,22.510000,23.290001,18.728151,1402800
2012-08-01,23.389999,24.620001,22.670000,24.209999,19.467941,8061200
2012-09-01,24.150000,26.719999,24.129999,25.379999,20.408777,28940100
2012-10-01,25.629999,26.620001,25.000000,25.500000,20.534662,2821200
2012-11-01,25.709999,26.110001,23.820000,24.969999,20.107862,23353000
2012-12-01,24.959999,26.690001,24.420000,26.270000,21.154734,25855000
2013-01-01,26.920000,27.980000,25.870001,27.639999,22.330761,9889500
2013-02-01,27.969999,28.969999,27.010000,27.760000,22.427704,1810900
2013-03-01,27.389999,29.570000,27.389999,28.889999,23.340649,6652700
2013-04-01,28.920000,29.330000,27.230000,29.230000,23.665863,11979200
2013-05-01,29.059999,32.419998,28.809999,31.129999,25.204185,2094100
2013-06-01,31.650000,31.940001,30.170000,31.540001,25.536137,2590700
2013-07-01,31.840000,34.430000,31.670000,33.790001,27.501448,4339400
2013-08-01,34.110001,34.480000,31.730000,32.000000,26.044580,3906100
2013-09-01,32.430000,33.650002,31.590000,31.940001,25.995752,3090000
2013-10-01,32.049999,33.720001,31.370001,33.000000,26.939745,1072600
2013-11-01,33.250000,35.230000,32.820000,34.910000,28.498978,2362900
2013-12-01,34.980000,35.549999,34.180000,35.520000,28.996954,3778200
2014-01-01,35.480000,36.669998,34.500000,34.520000,28.330812,3435400
2014-02-01,34.500000,35.669998,33.549999,35.470001,29.110487,1926000
2014-03-01,35.160000,39.320000,34.939999,37.130001,30.472864,1233500
2014-04-01,37.349998,37.540001,34.580002,35.130001,28.904612,1653900
2014-05-01,35.020000,35.610001,34.090000,35.480000,29.192583,2651500
2014-06-01,35.580002,37.029999,35.340000,36.599998,30.114120,875600
2014-07-01,36.730000,37.299999,35.970001,36.090000,29.793701,503600
2014-08-01,36.020000,37.139999,35.080002,36.779999,30.363319,686300
2014-09-01,36.900002,38.230000,36.630001,36.779999,30.363319,4797600
2014-10-01,36.759998,38.330002,33.480000,37.119999,30.756004,4416800
2014-11-01,37.110001,37.840000,36.820000,37.520000,31.087427,921300
2014-12-01,37.299999,38.759998,36.360001,38.209999,31.659124,1038600
2015-01-01,38.230000,38.410000,33.980000,34.270000,28.563038,1332500
2015-02-01,34.450001,37.580002,34.270000,37.200001,31.005114,557700
2015-03-01,37.180000,38.240002,36.430000,37.080002,30.905104,2624000
2015-04-01,36.959999,38.180000,36.540001,37.910000,31.681959,1956400
2015-05-01,38.150002,39.779999,37.860001,38.930000,32.534389,4431600
2015-06-01,39.180000,41.060001,38.680000,39.750000,33.219681,6010700
2015-07-01,40.290001,41.599998,38.529999,40.340000,33.813343,2699900
2015-08-01,40.400002,41.020000,34.000000,37.439999,31.382536,2334400
2015-09-01,36.700001,37.910000,35.090000,35.959999,30.141994,1777800
2015-10-01,35.980000,38.720001,34.520000,37.450001,31.493643,5031400
2015-11-01,37.630001,39.849998,37.630001,39.180000,32.948494,5986000
2015-12-01,39.330002,39.750000,36.759998,37.590000,31.611387,2105400
2016-01-01,36.810001,36.910000,30.889999,32.810001,27.761971,2244700
2016-02-01,32.650002,32.730000,28.870001,31.070000,26.289680,24788800
2016-03-01,31.350000,34.099998,31.350000,33.060001,27.973503,5854500
2016-04-01,32.860001,36.599998,31.799999,35.599998,30.227686,5642500
2016-05-01,35.730000,36.900002,33.990002,36.599998,31.076782,2365100
2016-06-01,36.220001,36.880001,30.840000,33.380001,28.342710,13041300
2016-07-01,33.240002,35.299999,31.570000,35.060001,29.928698,6438800
2016-08-01,35.119999,37.590000,34.349998,37.529999,32.037182,2927200
2016-09-01,37.580002,37.709999,35.580002,36.480000,31.140862,4434700
2016-10-01,36.360001,38.959999,36.180000,38.410000,32.931740,16785600
2016-11-01,38.570000,45.259998,37.639999,45.110001,38.676140,22868900
2016-12-01,45.439999,48.419998,45.330002,47.270000,40.528069,8230200
2017-01-01,48.009998,48.509998,45.880001,47.070000,40.580914,6910500
2017-02-01,47.540001,50.139999,46.660000,49.619999,42.779369,11366000
2017-03-01,50.689999,51.450001,45.430000,47.509998,40.960255,16318000
2017-04-01,47.549999,48.320000,45.340000,47.080002,40.640209,3527200
2017-05-01,47.369999,48.400002,45.540001,45.950001,39.664772,10841200
2017-06-01,46.240002,50.000000,45.700001,49.340000,42.591076,11145400
2017-07-01,49.619999,50.490002,48.779999,49.560001,42.940903,9874500
2017-08-01,49.869999,50.820000,47.529999,48.110001,41.684559,9784200
2017-09-01,48.209999,51.380001,46.119999,51.200001,44.361874,11997700
2017-10-01,51.200001,52.849998,50.439999,52.369999,45.581249,7502600
2017-11-01,52.610001,55.049999,50.020000,54.110001,47.095703,5815000
2017-12-01,54.160000,55.880001,52.779999,55.020000,47.887745,7358700
2018-01-01,55.360001,60.380001,54.900002,59.470001,52.025738,10308400
